iter	Passed	Remaining
751	927	305
752	928	304
753	929	303
754	930	301
755	931	300
756	931	299
757	932	297
758	933	296
759	934	295
760	935	293
761	936	292
762	937	291
763	938	289
764	939	288
765	940	287
766	941	286
767	942	284
768	943	283
769	944	281
770	944	280
771	945	279
772	946	277
773	947	276
774	948	275
775	949	274
776	950	272
777	950	271
778	951	269
779	952	268
780	954	267
781	955	266
782	956	264
783	956	263
784	957	262
785	958	260
786	959	259
787	959	258
788	960	256
789	961	255
790	962	254
791	963	252
792	963	251
793	964	250
794	965	248
795	965	247
796	966	246
797	968	245
798	969	243
799	970	242
800	970	241
801	971	239
802	972	238
803	973	237
804	974	235
805	974	234
806	975	233
807	976	232
808	977	230
809	977	229
810	978	228
811	979	226
812	980	225
813	980	224
814	981	222
815	982	221
816	983	220
817	984	219
818	985	217
819	986	216
820	987	215
821	987	213
822	988	212
823	989	211
824	990	210
825	990	208
826	991	207
827	992	206
828	993	204
829	994	203
830	994	202
831	995	201
832	996	199
833	997	198
834	998	197
835	999	196
836	1000	194
837	1000	193
838	1001	192
839	1002	190
840	1003	189
841	1003	188
842	1004	187
843	1005	185
844	1006	184
845	1007	183
846	1007	182
847	1008	180
848	1009	179
849	1010	178
850	1010	177
851	1011	175
852	1012	174
853	1013	173
854	1014	172
855	1015	170
856	1016	169
857	1017	168
858	1018	167
859	1018	165
860	1019	164
861	1020	163
862	1021	162
863	1021	160
864	1022	159
865	1023	158
866	1024	157
867	1025	155
868	1025	154
869	1026	153
870	1027	152
871	1028	151
872	1029	149
873	1030	148
874	1031	147
875	1032	146
876	1033	144
877	1033	143
878	1034	142
879	1035	141
880	1035	139
881	1036	138
882	1037	137
883	1038	136
884	1038	134
885	1039	133
886	1040	132
887	1041	131
888	1041	130
889	1042	128
890	1044	127
891	1044	126
892	1045	125
893	1046	124
894	1047	122
895	1048	121
896	1049	120
897	1049	119
898	1050	118
899	1051	116
900	1052	115
901	1052	114
902	1053	113
903	1054	111
904	1054	110
905	1055	109
906	1056	108
907	1057	107
908	1058	105
909	1059	104
910	1060	103
911	1061	102
912	1062	101
913	1063	100
914	1064	98
915	1065	97
916	1065	96
917	1066	95
918	1067	94
919	1068	92
920	1069	91
921	1070	90
922	1071	89
923	1071	88
924	1072	86
925	1074	85
926	1075	84
927	1076	83
928	1077	82
929	1078	81
930	1079	79
931	1079	78
932	1080	77
933	1081	76
934	1082	75
935	1083	74
936	1084	72
937	1085	71
938	1086	70
939	1086	69
940	1087	68
941	1089	67
942	1090	65
943	1091	64
944	1092	63
945	1092	62
946	1093	61
947	1094	60
948	1095	58
949	1096	57
950	1096	56
951	1097	55
952	1098	54
953	1099	52
954	1099	51
955	1100	50
956	1101	49
957	1101	48
958	1103	47
959	1104	46
960	1105	44
961	1105	43
962	1106	42
963	1107	41
964	1108	40
965	1109	39
966	1109	37
967	1110	36
968	1111	35
969	1112	34
970	1112	33
971	1113	32
972	1114	30
973	1115	29
974	1115	28
975	1116	27
976	1117	26
977	1118	25
978	1119	24
979	1120	22
980	1121	21
981	1122	20
982	1123	19
983	1124	18
984	1125	17
985	1126	15
986	1127	14
987	1127	13
988	1128	12
989	1129	11
990	1130	10
991	1131	9
992	1133	7
993	1134	6
994	1135	5
995	1136	4
996	1137	3
997	1139	2
998	1140	1
999	1141	0
